model,split,test_month,n,observed_defaults,predicted_defaults,count_error,absolute_count_error,relative_count_error,absolute_relative_count_error,observed_default_rate,predicted_default_rate,count_error_rate,absolute_count_error_rate,p_stress_mean,hard_stress_share
regime_aware_with_raw_macro_logit,test,2023-06,205586,1185.0,2447.926101658133,1262.9261016581331,1262.9261016581331,1.0657604233401967,1.0657604233401967,0.0057640111680756475,0.01190706615070157,0.0061430549826259236,0.0061430549826259236,0.9999999744544451,1.0
regime_aware_with_raw_macro_logit,test,2023-07,208458,1236.0,2729.6781775588456,1493.6781775588456,1493.6781775588456,1.2084774899343411,1.2084774899343411,0.005929251935641712,0.013094619432014341,0.007165367496372629,0.007165367496372629,0.9999999913803682,1.0
regime_aware_with_raw_macro_logit,test,2023-08,211302,1256.0,3840.6624174331428,2584.6624174331428,2584.6624174331428,2.0578522431792536,2.0578522431792536,0.0059440989673547814,0.018176176361005304,0.012232077393650523,0.012232077393650523,0.9999999999215948,1.0
regime_aware_with_raw_macro_logit,test,2023-09,214272,1322.0,2368.3937704129225,1046.3937704129225,1046.3937704129225,0.7915232756527402,0.7915232756527402,0.006169728195937874,0.01105321166747369,0.0048834834715358166,0.0048834834715358166,0.999999999776407,1.0
regime_aware_with_raw_macro_logit,test,2023-10,216233,1379.0,1738.886407605704,359.8864076057041,359.8864076057041,0.2609763651963046,0.2609763651963046,0.006377379955880925,0.008041725396242498,0.0016643454403615734,0.0016643454403615734,0.9999999999985208,1.0
regime_aware_with_raw_macro_logit,test,2023-11,219245,1412.0,1183.397215724076,-228.60278427592402,228.60278427592402,-0.16189998886396886,0.16189998886396886,0.006440283700882574,0.005397601841428885,-0.001042681859453689,0.001042681859453689,0.9999998574907759,1.0
regime_aware_with_raw_macro_logit,test,2023-12,221251,1516.0,1739.4317968471464,223.43179684714642,223.43179684714642,0.1473824517461388,0.1473824517461388,0.006851946431880534,0.007861803096244294,0.0010098566643637608,0.0010098566643637608,0.999936355129158,1.0
regime_aware_with_raw_macro_logit,test,2024-01,223304,1595.0,3313.9950463895716,1718.9950463895716,1718.9950463895716,1.0777398409965966,1.0777398409965966,0.007142729194282234,0.014840733020409717,0.007698003826127483,0.007698003826127483,0.999999365530501,1.0
regime_aware_with_raw_macro_logit,test,2024-02,225349,1626.0,3750.3045345867304,2124.3045345867304,2124.3045345867304,1.3064603533743728,1.3064603533743728,0.007215474663743793,0.016642206242702344,0.00942673157895855,0.00942673157895855,0.9999999754984987,1.0
regime_aware_with_raw_macro_logit,test,2024-03,227891,1652.0,3617.1019595716775,1965.1019595716775,1965.1019595716775,1.1895290312177225,1.1895290312177225,0.0072490796038456986,0.015872070242228423,0.008622990638382724,0.008622990638382724,0.999999790387866,1.0
regime_aware_with_raw_macro_logit,test,2024-04,230753,1700.0,2578.99398916012,878.9939891601198,878.9939891601198,0.517055287741247,0.517055287741247,0.007367184825332715,0.01117642669503807,0.003809241869705355,0.003809241869705355,0.9999999993852525,1.0
regime_aware_with_raw_macro_logit,test,2024-05,232956,1748.0,1845.4624040422884,97.46240404228843,97.46240404228843,0.05575652405165242,0.05575652405165242,0.007503562904582839,0.007921935490145299,0.00041837258556246,0.00041837258556246,0.9999999930838859,1.0
regime_aware_with_raw_macro_logit,test,2024-06,234904,1761.0,1626.4722237778487,-134.52777622215126,134.52777622215126,-0.07639283147197687,0.07639283147197687,0.00749667949460205,0.006923986921371491,-0.0005726925732305591,0.0005726925732305591,0.99999977885505,1.0
regime_aware_with_raw_macro_logit,test,2024-07,236800,1771.0,2030.0934289129043,259.0934289129043,259.0934289129043,0.14629781418007018,0.14629781418007018,0.007478885135135135,0.008573029682909225,0.0010941445477740891,0.0010941445477740891,0.9999999069530472,1.0
regime_aware_with_raw_macro_logit,test,2024-08,238580,1793.0,2590.018668536557,797.018668536557,797.018668536557,0.4445168257314875,0.4445168257314875,0.007515298851538268,0.010855975641447552,0.003340676789909284,0.003340676789909284,0.9999330869848196,1.0
regime_aware_with_raw_macro_logit,test,2024-09,240701,1784.0,3545.7176780066784,1761.7176780066784,1761.7176780066784,0.9875099091965686,0.9875099091965686,0.0074116850366221995,0.014730797454130553,0.007319112417508354,0.007319112417508354,0.9999029286634968,1.0
