month_date,fold,p_stress,hard_stress,hmm_state,hmm_stress_state,selected_seed,train_end
2023-01-01,origin_2023_04,2.387491977085028e-08,0,0,1,71,2022-03-01
2023-02-01,origin_2023_04,5.387231576038457e-06,0,0,1,71,2022-03-01
2023-03-01,origin_2023_04,8.857195651500004e-16,0,0,1,71,2022-03-01
2023-04-01,origin_2023_04,2.046262543038799e-21,0,0,1,71,2022-03-01
2023-05-01,origin_2023_04,9.006830937461194e-28,0,0,1,71,2022-03-01
2023-06-01,origin_2023_04,4.689710988421822e-16,0,0,1,71,2022-03-01
2023-07-01,origin_2023_04,7.298810171841867e-06,0,0,1,71,2022-03-01
2023-08-01,origin_2023_04,0.8331219225596114,1,1,1,71,2022-03-01
2023-09-01,origin_2023_04,0.9999999918108671,1,1,1,71,2022-03-01
2023-10-01,origin_2023_04,0.9999822711404536,1,1,1,71,2022-03-01
2023-11-01,origin_2023_04,0.9999977760085844,1,1,1,71,2022-03-01
2023-12-01,origin_2023_04,0.9999999999998792,1,1,1,71,2022-03-01
2024-01-01,origin_2023_04,1.0,1,1,1,71,2022-03-01
2024-02-01,origin_2023_04,0.9999999999980176,1,1,1,71,2022-03-01
2024-03-01,origin_2023_04,1.0,1,1,1,71,2022-03-01
